side_a_device,side_a_type,side_a_name,side_b_device,side_b_type,side_b_name,type,status,label,description
EMEA-DC-ONPREM-ESX-A04,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet32,dac-active,connected,ESX-A04-NIC2P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A05,dcim.interface,iLO,EMEA-DC-ONPREM-LEAF-A01,dcim.interface,Ethernet5,cat6,connected,ESX-A05-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-A05,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet33,dac-active,connected,ESX-A05-NIC1P1,25G uplink to Spine A01
EMEA-DC-ONPREM-ESX-A05,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet33,dac-active,connected,ESX-A05-NIC1P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A05,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet34,aoc,connected,ESX-A05-NIC2P1,10G AOC to Spine A01
EMEA-DC-ONPREM-ESX-A05,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet34,aoc,connected,ESX-A05-NIC2P2,10G AOC to Spine A02
EMEA-DC-ONPREM-ESX-A06,dcim.interface,iLO,EMEA-DC-ONPREM-LEAF-A01,dcim.interface,Ethernet6,cat6,connected,ESX-A06-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-A06,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet35,dac-active,connected,ESX-A06-NIC1P1,25G uplink to Spine A01
EMEA-DC-ONPREM-ESX-A06,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet35,dac-active,connected,ESX-A06-NIC1P2,25G uplink to Spine A02
EMEA-DC-ONPREM-ESX-A06,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet36,aoc,connected,ESX-A06-NIC2P1,10G AOC to Spine A01
EMEA-DC-ONPREM-ESX-A06,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet36,aoc,connected,ESX-A06-NIC2P2,10G AOC to Spine A02
EMEA-DC-ONPREM-ESX-B01,dcim.interface,iDRAC,EMEA-DC-ONPREM-LEAF-B01,dcim.interface,Ethernet7,cat6,connected,ESX-B01-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-B01,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet25,dac-active,connected,ESX-B01-NIC1P1,25G uplink to Spine B01
EMEA-DC-ONPREM-ESX-B01,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet25,dac-active,connected,ESX-B01-NIC1P2,25G uplink to Spine B02
EMEA-DC-ONPREM-ESX-B01,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet26,dac-active,connected,ESX-B01-NIC2P1,25G uplink to Spine B01
EMEA-DC-ONPREM-ESX-B01,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet26,dac-active,connected,ESX-B01-NIC2P2,25G uplink to Spine B02
EMEA-DC-ONPREM-ESX-B02,dcim.interface,iDRAC,EMEA-DC-ONPREM-LEAF-B01,dcim.interface,Ethernet8,cat6,connected,ESX-B02-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-B02,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet27,dac-active,connected,ESX-B02-NIC1P1,25G uplink to Spine B01
EMEA-DC-ONPREM-ESX-B02,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet27,dac-active,connected,ESX-B02-NIC1P2,25G uplink to Spine B02
EMEA-DC-ONPREM-ESX-B02,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet28,dac-active,connected,ESX-B02-NIC2P1,25G uplink to Spine B01
EMEA-DC-ONPREM-ESX-B02,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet28,dac-active,connected,ESX-B02-NIC2P2,25G uplink to Spine B02
EMEA-DC-ONPREM-ESX-B03,dcim.interface,iDRAC,EMEA-DC-ONPREM-LEAF-B01,dcim.interface,Ethernet9,cat6,connected,ESX-B03-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-B03,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet29,dac-active,connected,ESX-B03-NIC1P1,25G uplink to Spine B01
EMEA-DC-ONPREM-ESX-B03,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet29,dac-active,connected,ESX-B03-NIC1P2,25G uplink to Spine B02
EMEA-DC-ONPREM-ESX-B03,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet30,dac-active,connected,ESX-B03-NIC2P1,25G uplink to Spine B01
EMEA-DC-ONPREM-ESX-B03,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet30,dac-active,connected,ESX-B03-NIC2P2,25G uplink to Spine B02
EMEA-DC-ONPREM-ESX-B04,dcim.interface,iDRAC,EMEA-DC-ONPREM-LEAF-B01,dcim.interface,Ethernet10,cat6,connected,ESX-B04-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-B04,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet31,dac-active,connected,ESX-B04-NIC1P1,25G uplink to Spine B01
EMEA-DC-ONPREM-ESX-B04,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet31,dac-active,connected,ESX-B04-NIC1P2,25G uplink to Spine B02
EMEA-DC-ONPREM-ESX-B04,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet32,dac-active,connected,ESX-B04-NIC2P1,25G uplink to Spine B01
EMEA-DC-ONPREM-ESX-B04,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet32,dac-active,connected,ESX-B04-NIC2P2,25G uplink to Spine B02
EMEA-DC-ONPREM-ESX-MGT01,dcim.interface,CIMC,EMEA-DC-ONPREM-LEAF-A01,dcim.interface,Ethernet11,cat6,connected,ESX-MGT01-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-MGT01,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet37,aoc,connected,ESX-MGT01-NIC1P1,10G AOC to Spine A01
EMEA-DC-ONPREM-ESX-MGT01,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet37,aoc,connected,ESX-MGT01-NIC1P2,10G AOC to Spine A02
EMEA-DC-ONPREM-ESX-MGT01,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet38,aoc,connected,ESX-MGT01-NIC2P1,10G AOC to Spine A01
EMEA-DC-ONPREM-ESX-MGT01,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet38,aoc,connected,ESX-MGT01-NIC2P2,10G AOC to Spine A02
EMEA-DC-ONPREM-ESX-MGT02,dcim.interface,CIMC,EMEA-DC-ONPREM-LEAF-A01,dcim.interface,Ethernet12,cat6,connected,ESX-MGT02-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-MGT02,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet39,aoc,connected,ESX-MGT02-NIC1P1,10G AOC to Spine A01
EMEA-DC-ONPREM-ESX-MGT02,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet39,aoc,connected,ESX-MGT02-NIC1P2,10G AOC to Spine A02
EMEA-DC-ONPREM-ESX-MGT02,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet40,aoc,connected,ESX-MGT02-NIC2P1,10G AOC to Spine A01
EMEA-DC-ONPREM-ESX-MGT02,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet40,aoc,connected,ESX-MGT02-NIC2P2,10G AOC to Spine A02
EMEA-DC-ONPREM-ESX-MGT03,dcim.interface,CIMC,EMEA-DC-ONPREM-LEAF-A01,dcim.interface,Ethernet13,cat6,connected,ESX-MGT03-MGMT,Management interface to OOB network
EMEA-DC-ONPREM-ESX-MGT03,dcim.interface,NIC1-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet41,aoc,connected,ESX-MGT03-NIC1P1,10G AOC to Spine A01
EMEA-DC-ONPREM-ESX-MGT03,dcim.interface,NIC1-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet41,aoc,connected,ESX-MGT03-NIC1P2,10G AOC to Spine A02
EMEA-DC-ONPREM-ESX-MGT03,dcim.interface,NIC2-Port1,EMEA-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet42,aoc,connected,ESX-MGT03-NIC2P1,10G AOC to Spine A01
EMEA-DC-ONPREM-ESX-MGT03,dcim.interface,NIC2-Port2,EMEA-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet42,aoc,connected,ESX-MGT03-NIC2P2,10G AOC to Spine A02
APAC-DC-ONPREM-ESX-A01,dcim.interface,iDRAC,APAC-DC-ONPREM-LEAF-A01,dcim.interface,Ethernet1,cat6,connected,ESX-A01-MGMT,Management interface to OOB network
APAC-DC-ONPREM-ESX-A01,dcim.interface,NIC1-Port1,APAC-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet25,dac-active,connected,ESX-A01-NIC1P1,25G uplink to Spine A01
APAC-DC-ONPREM-ESX-A01,dcim.interface,NIC1-Port2,APAC-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet25,dac-active,connected,ESX-A01-NIC1P2,25G uplink to Spine A02
APAC-DC-ONPREM-ESX-A01,dcim.interface,NIC2-Port1,APAC-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet26,dac-active,connected,ESX-A01-NIC2P1,25G uplink to Spine A01
APAC-DC-ONPREM-ESX-A01,dcim.interface,NIC2-Port2,APAC-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet26,dac-active,connected,ESX-A01-NIC2P2,25G uplink to Spine A02
APAC-DC-ONPREM-ESX-A02,dcim.interface,iDRAC,APAC-DC-ONPREM-LEAF-A01,dcim.interface,Ethernet2,cat6,connected,ESX-A02-MGMT,Management interface to OOB network
APAC-DC-ONPREM-ESX-A02,dcim.interface,NIC1-Port1,APAC-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet27,dac-active,connected,ESX-A02-NIC1P1,25G uplink to Spine A01
APAC-DC-ONPREM-ESX-A02,dcim.interface,NIC1-Port2,APAC-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet27,dac-active,connected,ESX-A02-NIC1P2,25G uplink to Spine A02
APAC-DC-ONPREM-ESX-A02,dcim.interface,NIC2-Port1,APAC-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet28,dac-active,connected,ESX-A02-NIC2P1,25G uplink to Spine A01
APAC-DC-ONPREM-ESX-A02,dcim.interface,NIC2-Port2,APAC-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet28,dac-active,connected,ESX-A02-NIC2P2,25G uplink to Spine A02
APAC-DC-ONPREM-ESX-A03,dcim.interface,iDRAC,APAC-DC-ONPREM-LEAF-A01,dcim.interface,Ethernet3,cat6,connected,ESX-A03-MGMT,Management interface to OOB network
APAC-DC-ONPREM-ESX-A03,dcim.interface,NIC1-Port1,APAC-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet29,dac-active,connected,ESX-A03-NIC1P1,25G uplink to Spine A01
APAC-DC-ONPREM-ESX-A03,dcim.interface,NIC1-Port2,APAC-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet29,dac-active,connected,ESX-A03-NIC1P2,25G uplink to Spine A02
APAC-DC-ONPREM-ESX-A03,dcim.interface,NIC2-Port1,APAC-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet30,dac-active,connected,ESX-A03-NIC2P1,25G uplink to Spine A01
APAC-DC-ONPREM-ESX-A03,dcim.interface,NIC2-Port2,APAC-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet30,dac-active,connected,ESX-A03-NIC2P2,25G uplink to Spine A02
APAC-DC-ONPREM-ESX-A04,dcim.interface,iDRAC,APAC-DC-ONPREM-LEAF-A01,dcim.interface,Ethernet4,cat6,connected,ESX-A04-MGMT,Management interface to OOB network
APAC-DC-ONPREM-ESX-A04,dcim.interface,NIC1-Port1,APAC-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet31,dac-active,connected,ESX-A04-NIC1P1,25G uplink to Spine A01
APAC-DC-ONPREM-ESX-A04,dcim.interface,NIC1-Port2,APAC-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet31,dac-active,connected,ESX-A04-NIC1P2,25G uplink to Spine A02
APAC-DC-ONPREM-ESX-A04,dcim.interface,NIC2-Port1,APAC-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet32,dac-active,connected,ESX-A04-NIC2P1,25G uplink to Spine A01
APAC-DC-ONPREM-ESX-A04,dcim.interface,NIC2-Port2,APAC-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet32,dac-active,connected,ESX-A04-NIC2P2,25G uplink to Spine A02
APAC-DC-ONPREM-ESX-A05,dcim.interface,iLO,APAC-DC-ONPREM-LEAF-A01,dcim.interface,Ethernet5,cat6,connected,ESX-A05-MGMT,Management interface to OOB network
APAC-DC-ONPREM-ESX-A05,dcim.interface,NIC1-Port1,APAC-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet33,dac-active,connected,ESX-A05-NIC1P1,25G uplink to Spine A01
APAC-DC-ONPREM-ESX-A05,dcim.interface,NIC1-Port2,APAC-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet33,dac-active,connected,ESX-A05-NIC1P2,25G uplink to Spine A02
APAC-DC-ONPREM-ESX-A05,dcim.interface,NIC2-Port1,APAC-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet34,aoc,connected,ESX-A05-NIC2P1,10G AOC to Spine A01
APAC-DC-ONPREM-ESX-A05,dcim.interface,NIC2-Port2,APAC-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet34,aoc,connected,ESX-A05-NIC2P2,10G AOC to Spine A02
APAC-DC-ONPREM-ESX-A06,dcim.interface,iLO,APAC-DC-ONPREM-LEAF-A01,dcim.interface,Ethernet6,cat6,connected,ESX-A06-MGMT,Management interface to OOB network
APAC-DC-ONPREM-ESX-A06,dcim.interface,NIC1-Port1,APAC-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet35,dac-active,connected,ESX-A06-NIC1P1,25G uplink to Spine A01
APAC-DC-ONPREM-ESX-A06,dcim.interface,NIC1-Port2,APAC-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet35,dac-active,connected,ESX-A06-NIC1P2,25G uplink to Spine A02
APAC-DC-ONPREM-ESX-A06,dcim.interface,NIC2-Port1,APAC-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet36,aoc,connected,ESX-A06-NIC2P1,10G AOC to Spine A01
APAC-DC-ONPREM-ESX-A06,dcim.interface,NIC2-Port2,APAC-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet36,aoc,connected,ESX-A06-NIC2P2,10G AOC to Spine A02
APAC-DC-ONPREM-ESX-B01,dcim.interface,iDRAC,APAC-DC-ONPREM-LEAF-B01,dcim.interface,Ethernet7,cat6,connected,ESX-B01-MGMT,Management interface to OOB network
APAC-DC-ONPREM-ESX-B01,dcim.interface,NIC1-Port1,APAC-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet25,dac-active,connected,ESX-B01-NIC1P1,25G uplink to Spine B01
APAC-DC-ONPREM-ESX-B01,dcim.interface,NIC1-Port2,APAC-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet25,dac-active,connected,ESX-B01-NIC1P2,25G uplink to Spine B02
APAC-DC-ONPREM-ESX-B01,dcim.interface,NIC2-Port1,APAC-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet26,dac-active,connected,ESX-B01-NIC2P1,25G uplink to Spine B01
APAC-DC-ONPREM-ESX-B01,dcim.interface,NIC2-Port2,APAC-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet26,dac-active,connected,ESX-B01-NIC2P2,25G uplink to Spine B02
APAC-DC-ONPREM-ESX-B02,dcim.interface,iDRAC,APAC-DC-ONPREM-LEAF-B01,dcim.interface,Ethernet8,cat6,connected,ESX-B02-MGMT,Management interface to OOB network
APAC-DC-ONPREM-ESX-B02,dcim.interface,NIC1-Port1,APAC-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet27,dac-active,connected,ESX-B02-NIC1P1,25G uplink to Spine B01
APAC-DC-ONPREM-ESX-B02,dcim.interface,NIC1-Port2,APAC-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet27,dac-active,connected,ESX-B02-NIC1P2,25G uplink to Spine B02
APAC-DC-ONPREM-ESX-B02,dcim.interface,NIC2-Port1,APAC-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet28,dac-active,connected,ESX-B02-NIC2P1,25G uplink to Spine B01
APAC-DC-ONPREM-ESX-B02,dcim.interface,NIC2-Port2,APAC-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet28,dac-active,connected,ESX-B02-NIC2P2,25G uplink to Spine B02
APAC-DC-ONPREM-ESX-B03,dcim.interface,iDRAC,APAC-DC-ONPREM-LEAF-B01,dcim.interface,Ethernet9,cat6,connected,ESX-B03-MGMT,Management interface to OOB network
APAC-DC-ONPREM-ESX-B03,dcim.interface,NIC1-Port1,APAC-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet29,dac-active,connected,ESX-B03-NIC1P1,25G uplink to Spine B01
APAC-DC-ONPREM-ESX-B03,dcim.interface,NIC1-Port2,APAC-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet29,dac-active,connected,ESX-B03-NIC1P2,25G uplink to Spine B02
APAC-DC-ONPREM-ESX-B03,dcim.interface,NIC2-Port1,APAC-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet30,dac-active,connected,ESX-B03-NIC2P1,25G uplink to Spine B01
APAC-DC-ONPREM-ESX-B03,dcim.interface,NIC2-Port2,APAC-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet30,dac-active,connected,ESX-B03-NIC2P2,25G uplink to Spine B02
APAC-DC-ONPREM-ESX-B04,dcim.interface,iDRAC,APAC-DC-ONPREM-LEAF-B01,dcim.interface,Ethernet10,cat6,connected,ESX-B04-MGMT,Management interface to OOB network
APAC-DC-ONPREM-ESX-B04,dcim.interface,NIC1-Port1,APAC-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet31,dac-active,connected,ESX-B04-NIC1P1,25G uplink to Spine B01
APAC-DC-ONPREM-ESX-B04,dcim.interface,NIC1-Port2,APAC-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet31,dac-active,connected,ESX-B04-NIC1P2,25G uplink to Spine B02
APAC-DC-ONPREM-ESX-B04,dcim.interface,NIC2-Port1,APAC-DC-ONPREM-SPINE-B01,dcim.interface,Ethernet32,dac-active,connected,ESX-B04-NIC2P1,25G uplink to Spine B01
APAC-DC-ONPREM-ESX-B04,dcim.interface,NIC2-Port2,APAC-DC-ONPREM-SPINE-B02,dcim.interface,Ethernet32,dac-active,connected,ESX-B04-NIC2P2,25G uplink to Spine B02
APAC-DC-ONPREM-ESX-MGT01,dcim.interface,CIMC,APAC-DC-ONPREM-LEAF-A01,dcim.interface,Ethernet11,cat6,connected,ESX-MGT01-MGMT,Management interface to OOB network
APAC-DC-ONPREM-ESX-MGT01,dcim.interface,NIC1-Port1,APAC-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet37,aoc,connected,ESX-MGT01-NIC1P1,10G AOC to Spine A01
APAC-DC-ONPREM-ESX-MGT01,dcim.interface,NIC1-Port2,APAC-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet37,aoc,connected,ESX-MGT01-NIC1P2,10G AOC to Spine A02
APAC-DC-ONPREM-ESX-MGT01,dcim.interface,NIC2-Port1,APAC-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet38,aoc,connected,ESX-MGT01-NIC2P1,10G AOC to Spine A01
APAC-DC-ONPREM-ESX-MGT01,dcim.interface,NIC2-Port2,APAC-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet38,aoc,connected,ESX-MGT01-NIC2P2,10G AOC to Spine A02
APAC-DC-ONPREM-ESX-MGT02,dcim.interface,CIMC,APAC-DC-ONPREM-LEAF-A01,dcim.interface,Ethernet12,cat6,connected,ESX-MGT02-MGMT,Management interface to OOB network
APAC-DC-ONPREM-ESX-MGT02,dcim.interface,NIC1-Port1,APAC-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet39,aoc,connected,ESX-MGT02-NIC1P1,10G AOC to Spine A01
APAC-DC-ONPREM-ESX-MGT02,dcim.interface,NIC1-Port2,APAC-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet39,aoc,connected,ESX-MGT02-NIC1P2,10G AOC to Spine A02
APAC-DC-ONPREM-ESX-MGT02,dcim.interface,NIC2-Port1,APAC-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet40,aoc,connected,ESX-MGT02-NIC2P1,10G AOC to Spine A01
APAC-DC-ONPREM-ESX-MGT02,dcim.interface,NIC2-Port2,APAC-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet40,aoc,connected,ESX-MGT02-NIC2P2,10G AOC to Spine A02
APAC-DC-ONPREM-ESX-MGT03,dcim.interface,CIMC,APAC-DC-ONPREM-LEAF-A01,dcim.interface,Ethernet13,cat6,connected,ESX-MGT03-MGMT,Management interface to OOB network
APAC-DC-ONPREM-ESX-MGT03,dcim.interface,NIC1-Port1,APAC-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet41,aoc,connected,ESX-MGT03-NIC1P1,10G AOC to Spine A01
APAC-DC-ONPREM-ESX-MGT03,dcim.interface,NIC1-Port2,APAC-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet41,aoc,connected,ESX-MGT03-NIC1P2,10G AOC to Spine A02
APAC-DC-ONPREM-ESX-MGT03,dcim.interface,NIC2-Port1,APAC-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet42,aoc,connected,ESX-MGT03-NIC2P1,10G AOC to Spine A01
APAC-DC-ONPREM-ESX-MGT03,dcim.interface,NIC2-Port2,APAC-DC-ONPREM-SPINE-A02,dcim.interface,Ethernet42,aoc,connected,ESX-MGT03-NIC2P2,10G AOC to Spine A02
AMER-DC-ONPREM-ESX-A01,dcim.interface,iDRAC,AMER-DC-ONPREM-LEAF-A01,dcim.interface,Ethernet1,cat6,connected,ESX-A01-MGMT,Management interface to OOB network
AMER-DC-ONPREM-ESX-A01,dcim.interface,NIC1-Port1,AMER-DC-ONPREM-SPINE-A01,dcim.interface,Ethernet25,dac-active,connected,ESX-A01-NIC1P1,25G uplink to Spine A01
