cid,term_side,termination_type,termination_id,port_speed,upstream_speed,xconnect_id,pp_info,description,tags
EMEA-DC-ONPREM-DIA-PRI,Z,,,10000000,10000000,,,Z-side termination at GTT Communications,
EMEA-DC-ONPREM-DIA-SEC,Z,,,10000000,10000000,,,Z-side termination at Zayo Group,
EMEA-DC-ONPREM-MPLS-01,Z,,,5000000,5000000,,,Z-side termination at GTT Communications,
EMEA-DC-ONPREM-MPLS-02,Z,,,5000000,5000000,,,Z-side termination at Zayo Group,
EMEA-DC-ONPREM-DF-INTERDC,Z,,,100000000,100000000,,,Z-side termination at Telia Carrier,
EMEA-DC-ONPREM-AWS-DX,Z,,,10000000,10000000,,,Z-side termination at Telia Carrier,
EMEA-DC-ONPREM-AZURE-ER,Z,,,10000000,10000000,,,Z-side termination at Telia Carrier,
APAC-DC-CLOUD-DIA-PRI,Z,,,10000000,10000000,,,Z-side termination at Telstra Global,
APAC-DC-CLOUD-DIA-SEC,Z,,,10000000,10000000,,,Z-side termination at Singtel,
APAC-DC-CLOUD-MPLS-01,Z,,,5000000,5000000,,,Z-side termination at Telstra Global,
APAC-DC-CLOUD-MPLS-02,Z,,,5000000,5000000,,,Z-side termination at Singtel,
APAC-DC-CLOUD-DF-INTERDC,Z,,,100000000,100000000,,,Z-side termination at China Telecom Global,
APAC-DC-CLOUD-AWS-DX,Z,,,10000000,10000000,,,Z-side termination at China Telecom Global,
APAC-DC-CLOUD-AZURE-ER,Z,,,10000000,10000000,,,Z-side termination at China Telecom Global,
APAC-DC-ONPREM-DIA-PRI,Z,,,10000000,10000000,,,Z-side termination at Telstra Global,
APAC-DC-ONPREM-DIA-SEC,Z,,,10000000,10000000,,,Z-side termination at Singtel,
APAC-DC-ONPREM-MPLS-01,Z,,,5000000,5000000,,,Z-side termination at Telstra Global,
APAC-DC-ONPREM-MPLS-02,Z,,,5000000,5000000,,,Z-side termination at Singtel,
APAC-DC-ONPREM-DF-INTERDC,Z,,,100000000,100000000,,,Z-side termination at China Telecom Global,
APAC-DC-ONPREM-AWS-DX,Z,,,10000000,10000000,,,Z-side termination at China Telecom Global,
APAC-DC-ONPREM-AZURE-ER,Z,,,10000000,10000000,,,Z-side termination at China Telecom Global,
AMER-DC-CLOUD-DIA-PRI,Z,,,10000000,10000000,,,Z-side termination at Zayo Group,
AMER-DC-CLOUD-DIA-SEC,Z,,,10000000,10000000,,,Z-side termination at GTT Communications,
AMER-DC-CLOUD-MPLS-01,Z,,,5000000,5000000,,,Z-side termination at Zayo Group,
AMER-DC-CLOUD-MPLS-02,Z,,,5000000,5000000,,,Z-side termination at GTT Communications,
AMER-DC-CLOUD-DF-INTERDC,Z,,,100000000,100000000,,,Z-side termination at Crown Castle Fiber,
AMER-DC-CLOUD-AWS-DX,Z,,,10000000,10000000,,,Z-side termination at Crown Castle Fiber,
AMER-DC-CLOUD-AZURE-ER,Z,,,10000000,10000000,,,Z-side termination at Crown Castle Fiber,
AMER-DC-ONPREM-DIA-PRI,Z,,,10000000,10000000,,,Z-side termination at Zayo Group,
AMER-DC-ONPREM-DIA-SEC,Z,,,10000000,10000000,,,Z-side termination at GTT Communications,
AMER-DC-ONPREM-MPLS-01,Z,,,5000000,5000000,,,Z-side termination at Zayo Group,
AMER-DC-ONPREM-MPLS-02,Z,,,5000000,5000000,,,Z-side termination at GTT Communications,
AMER-DC-ONPREM-DF-INTERDC,Z,,,100000000,100000000,,,Z-side termination at Crown Castle Fiber,
AMER-DC-ONPREM-AWS-DX,Z,,,10000000,10000000,,,Z-side termination at Crown Castle Fiber,
AMER-DC-ONPREM-AZURE-ER,Z,,,10000000,10000000,,,Z-side termination at Crown Castle Fiber,
